titles,left,top,width,height,r,g,b,r1,g1,b1,jump_to
一月,0.63,3.72,0.74,1.96,166,27,41,245,245,220,
二月,0.63,6.3,0.74,1.96,166,27,41,245,245,220,
三月,0.63,8.9,0.74,1.96,166,27,41,245,245,220,
四月,0.63,11.52,0.74,1.96,166,27,41,245,245,220,
五月,0.63,14.1,0.74,1.85,166,27,41,245,245,220,5
六月,0.63,16.53,0.74,1.85,166,27,41,245,245,220,6
七月,28.4,3.72,0.74,1.85,166,27,41,245,245,220,7
八月,28.4,6.3,0.74,1.85,166,27,41,245,245,220,8
九月,28.4,8.9,0.74,1.85,166,27,41,245,245,220,9
十月,28.4,11.52,0.74,1.85,166,27,41,245,245,220,10
十一月,28.4,13.57,1.1,2.66,166,27,41,245,245,220,11
十二月,28.4,16.86,0.74,1.96,166,27,41,245,245,220,12
封面,4.57,1.41,1.5,0.8,-20,,,,,,0
年历,6.62,1.31,1.5,0.8,0,,,,,,1
年计划,8.79,1.43,1.5,0.8,0,,,,,,2
附录,16.4,0.98,1.16,1.23,0,,,,,,3
方格纸,18.28,1.65,0.77,0.56,0,,,,,,366
